Target	Iteration	AcceptPct	Objective	Penalties	FrontierDegree	SelCriterion	SelCriterionStd	MaxSelCriterPct	Coancestry	CoancestryRate	MinCoancestryPct	Inbreeding	InbreedingRate	MinInbreedingPct
ModeMinCoancestry	-1	NaN	-0.00053	0	NaN	1.02404	-0.00335	NaN	0.00053	0.00053	NaN	-0.00202	0.01981	NaN
ModeMaxCriterion	-1	NaN	0.11821	0	NaN	5.31724	1.16036	NaN	0.02093	0.02093	NaN	0.01398	0.03545	NaN
ModeOpt1	-1	NaN	1	0	0	5.31724	1.16036	100	0.02093	0.02093	0	0.01398	0.03545	NaN
ModeOpt2	-1	NaN	1.00752	0	10.03889	5.28379	1.15129	99.22098	0.01735	0.01735	17.56478	0.01657	0.03799	NaN
ModeOpt3	-1	NaN	1.03289	0	20.00352	5.19101	1.12614	97.05965	0.01372	0.01372	35.33357	0.0065	0.02814	NaN
ModeOpt4	-1	NaN	1.0773	0	30.02437	5.02948	1.08236	93.2973	0.00993	0.00993	53.91815	0.00257	0.02429	NaN
ModeOpt5	-1	NaN	1.10604	0	40.00555	4.66157	0.98263	84.72769	0.00642	0.00642	71.10895	0.01681	0.03822	NaN
ModeOpt6	-1	NaN	1.09773	0	50.005	4.05335	0.81777	70.56074	0.00377	0.00377	84.10592	-0.011	0.01102	NaN
ModeOpt7	-1	NaN	1.05248	0	60.02304	3.28331	0.60904	52.62421	0.00231	0.00231	91.2325	-0.00657	0.01535	NaN
ModeOpt8	-1	NaN	1.02501	0	70.02078	2.52913	0.40462	35.05746	0.00125	0.00125	96.42837	-0.00192	0.0199	NaN
ModeOpt9	-1	NaN	0.98066	0	80.01745	1.75513	0.19482	17.02893	0.00119	0.00119	96.74817	0.00135	0.0231	NaN
ModeOpt10	-1	NaN	0	0	90	1.02404	-0.00335	0	0.00053	0.00053	100	-0.00202	0.01981	NaN
