Target	Iteration	AcceptPct	Objective	Penalties	FrontierDegree	SelCriterion	SelCriterionStd	MaxSelCriterPct	Coancestry	CoancestryRate	MinCoancestryPct	Inbreeding	InbreedingRate	MinInbreedingPct
ModeMinCoancestry	-1	NaN	-0.0005	0	NaN	-1.20029	-0.02951	NaN	0.0005	0.0005	NaN	0.00124	0.02905	NaN
ModeMaxCriterion	-1	NaN	0.14478	0	NaN	3.53083	1.0951	NaN	0.00954	0.00954	NaN	0.00313	0.03089	NaN
ModeOpt1	-1	NaN	1	0	0	3.53083	1.0951	100	0.00954	0.00954	0	0.00313	0.03089	NaN
ModeOpt2	-1	NaN	1.00759	0	10.0928	3.4943	1.08642	99.22788	0.00794	0.00794	17.66232	-0.00042	0.02744	NaN
ModeOpt3	-1	NaN	1.01992	0	20.03193	3.33407	1.04833	95.84115	0.00638	0.00638	34.94383	-0.00191	0.02599	NaN
ModeOpt4	-1	NaN	1.03795	0	30.00444	3.05248	0.98139	89.88918	0.00485	0.00485	51.90683	-0.00369	0.02426	NaN
ModeOpt5	-1	NaN	1.03566	0	40.00287	2.55319	0.86271	79.33587	0.00352	0.00352	66.57747	0.00329	0.03105	NaN
ModeOpt6	-1	NaN	1.03417	0	50.00938	1.94475	0.71808	66.47549	0.00237	0.00237	79.24873	0.00692	0.03457	NaN
ModeOpt7	-1	NaN	1.02275	0	60.00162	1.21908	0.54559	51.13747	0.00153	0.00153	88.57847	-0.00187	0.02602	NaN
ModeOpt8	-1	NaN	1.00537	0	70.00093	0.42653	0.35719	34.38552	0.001	0.001	94.47819	-0.00381	0.02414	NaN
ModeOpt9	-1	NaN	0.9718	0	80.00368	-0.40191	0.16027	16.87507	0.00088	0.00088	95.73927	-0.00453	0.02344	NaN
ModeOpt10	-1	NaN	0	0	90	-1.20029	-0.02951	0	0.0005	0.0005	100	0.00124	0.02905	NaN
