ID	experiment	zoo	clutch	euthanised	days_survived	infection_status	slope_bd	bd_std.error	age_start	age_death	wt_start	wt_death	svl_start	svl_death	bc_start	bc_death	bc_change
Psco_191	1	TZ	13	1	56	1	0.774397263	0.521433559	289	345	0.971	0.728	22.43	21.15	-0.01	-0.1	-0.09
Psco_103	1	MZ	8	0	98	1	0.662025026	0.050875127	271	369	0.896	0.618	23	21.92	-0.04	-0.16	-0.12
Psco_199	1	MZ	8	1	76	1	0.478610216	0.072069484	271	347	0.899	0.745	22.53	21.77	-0.03	-0.1	-0.06
Psco_111	1	TZ	15	1	63	1	0.522855755	0.105210575	299	362	1.105	0.823	24.13	21.84	0.03	-0.06	-0.09
Psco_207	1	TZ	13	1	62	1	0.812382122	0.188379707	289	351	1	0.759	22.77	21.95	0	-0.09	-0.09
Psco_119	1	MZ	3	1	64	1	0.620490043	0.196960052	284	348	0.796	0.597	22.52	21.08	-0.07	-0.17	-0.1
Psco_215	1	TZ	16	1	53	1	0.648362468	0.085468086	291	344	1.023	0.741	23.66	20.91	0.01	-0.1	-0.11
Psco_127	1	MZ	6	0	98	1	0.308433749	0.08353097	278	376	0.66	0.512	19.95	19.71	-0.14	-0.22	-0.09
Psco_223	1	TZ	12	0	98	0	0	0	296	394	0.91	0.853	22.92	23.61	-0.03	-0.05	-0.02
Psco_135	1	TZ	12	1	62	1	0.45469206	0.100987286	296	358	0.974	0.71	22.93	21.64	-0.01	-0.11	-0.1
Psco_231	1	MZ	1	1	50	1	0.671075921	0.113364372	269	319	1.149	0.844	24.78	21.75	0.04	-0.06	-0.1
Psco_143	1	MZ	5	1	60	1	0.742777382	0.1453687	275	335	1.031	0.715	22.59	21.32	0.01	-0.11	-0.12
Psco_239	1	MZ	5	0	98	0	0	0	275	373	1.082	0.941	23.64	23.51	0.02	-0.02	-0.04
Psco_248	1	MZ	8	1	72	1	0.605758339	0.197288382	271	343	1.068	0.597	24.6	21.97	0.02	-0.17	-0.19
Psco_159	1	TZ	9	1	53	1	0.717214344	0.060591116	296	349	1.106	0.758	23.57	21.57	0.03	-0.09	-0.12
Psco_256	1	MZ	3	0	98	0	0	0	284	382	0.995	0.798	22.59	22.11	0	-0.07	-0.07
Psco_167	1	MZ	6	1	91	1	0.314950936	0.092422904	278	369	1.086	0.669	23.59	22.41	0.03	-0.13	-0.16
Psco_265	1	TZ	9	1	46	1	0.536877733	0.114447544	296	342	0.879	0.642	23.65	20.9	-0.04	-0.15	-0.11
Psco_175	1	TZ	19	1	61	1	0.699431348	0.173856445	276	337	1.097	0.779	23.79	21.84	0.03	-0.08	-0.11
